date, pm25, o3, no2, so2, co
2019/5/27, 24, 38, 9, , 2
2019/5/28, 29, 32, 4, , 2
2019/5/29, 15, 27, 9, , 2
2019/5/30, 23, 28, 11, 4, 4
2019/5/31, 58, 34, 8, , 2
2019/6/1, 19, 33, 10, , 3
2019/6/2, 51, 32, 4, , 2
2019/6/3, 41, 25, 3, 1, 1
2019/6/4, 6, 19, 13, 1, 2
2019/6/5, 23, 35, 17, , 3
2019/6/6, 60, 28, 8, , 2
2019/6/7, 35, 41, 12, , 2
2019/6/8, 36, 41, 3, , 1
2019/6/9, 24, 45, 4, , 2
2019/6/10, 23, 35, 6, , 2
2019/6/11, 24, 36, 4, , 2
2019/6/12, 15, 41, 15, 2, 3
2019/6/13, 45, 32, 8, , 2
2019/6/14, 32, 32, 4, , 1
2019/6/15, 19, 34, 5, , 2
2019/6/16, 38, 23, 4, , 2
2019/6/17, 18, 22, 7, , 2
2019/6/18, 23, 25, 11, , 2
2019/6/19, 33, 21, 15, 1, 3
2019/6/20, 55, , , , 2
2019/6/21, 35, 22, 5, , 2
2019/6/22, 13, 32, 7, , 2
2019/6/23, 18, 32, 7, , 1
2019/6/24, 24, 32, 14, , 3
2019/6/25, 43, 32, 13, , 2
2019/6/26, 44, 38, 12, , 2
2019/6/27, 37, 42, 21, 1, 3
2019/6/28, 45, 40, 26, , 3
2019/6/29, 57, 49, 11, , 2
2019/6/30, 55, 23, 7, 5, 2
2019/7/1, 26, 35, 7, 4, 2
2019/1/2, 12, 16, 14, , 2
2019/1/3, 28, 14, 12, , 2
2019/1/4, 32, 12, 15, 1, 3
2019/1/5, 44, 14, 14, , 3
2019/1/6, 56, 21, 7, , 2
2019/1/7, 28, 20, 9, , 1
2019/1/8, 11, 13, 17, , 3
2019/1/9, 48, 17, 6, , 2
2019/1/10, 13, 22, 6, , 2
2019/1/11, 10, 22, 14, , 2
2019/1/12, 15, 18, 20, , 2
2019/1/13, 21, 20, 13, 1, 2
2019/1/14, 21, 10, 24, 2, 3
2019/1/15, 44, 15, 16, , 2
2019/1/16, 68, 22, 9, , 2
2019/1/17, 17, 17, 20, , 3
2019/1/18, 25, 22, 16, , 3
2019/1/19, 44, 18, 13, , 2
2019/1/20, 13, 22, 8, , 1
2019/1/21, 13, 22, 10, , 2
2019/1/22, 9, 16, 28, , 5
2019/1/23, 38, 19, 12, , 2
2019/1/24, 33, 19, 11, , 2
2019/1/25, 25, 19, 9, , 2
2019/1/26, 24, 23, 11, , 2
2019/1/27, 37, 24, 10, , 2
2019/1/28, 32, 25, 14, , 2
2019/1/29, 19, 25, 10, , 2
2019/1/30, 34, 22, 14, , 2
2019/1/31, 32, 19, 15, , 2
2019/2/1, 33, 19, 26, 1, 3
2019/2/2, 52, 15, 22, , 3
2019/2/3, 84, 23, 17, , 3
2019/2/4, 80, 30, 15, 2, 3
2019/2/5, 52, 20, 10, , 2
2019/2/6, 20, 21, 12, , 2
2019/2/7, 25, 16, 14, , 3
2019/2/8, 38, 26, 8, , 2
2019/2/9, 16, 29, 6, , 2
2019/2/10, 8, 22, 16, , 2
2019/2/11, 46, 26, 14, , 2
2019/2/12, 25, 28, 7, , 2
2019/2/13, 17, 29, 8, , 2
2019/2/14, 29, 29, 12, , 2
2019/2/15, 41, 27, 12, , 2
2019/2/16, 30, 29, 8, , 2
2019/2/17, 9, 26, 13, , 2
2019/2/18, 18, 30, 9, , 2
2019/2/19, 11, 28, 26, , 3
2019/2/20, 39, 28, 24, , 4
2019/2/21, 51, 34, 11, , 2
2019/2/22, 44, 30, 23, , 3
2019/2/23, 53, 33, 17, , 3
2019/2/24, 35, 32, 8, , 2
2019/2/25, 29, 31, 5, , 2
2019/2/26, 19, 29, 8, , 2
2019/2/27, 25, 22, 16, , 2
2019/2/28, 24, 24, 19, , 3
2019/3/1, 21, 27, 28, , 4
2019/3/2, 47, 30, 24, , 4
2019/3/3, 52, 32, 10, , 2
2019/3/4, 27, 29, 12, , 2
2019/3/5, 27, 30, 13, , 2
2019/3/6, 44, 25, 14, , 2
2019/3/7, 27, 32, 14, , 2
2019/3/8, 32, 35, 25, 1, 4
2019/3/9, 56, 42, 20, , 4
2019/3/10, 58, 36, 8, , 2
2019/3/11, 35, 37, 8, , 2
2019/3/12, 33, 38, 8, , 2
2019/3/13, 34, 32, 17, 1, 2
2019/3/14, 50, 28, 17, , 3
2019/3/15, 51, 28, 9, , 2
2019/3/16, 21, 31, 4, , 2
2019/3/17, 8, 30, , , 2
2019/3/18, 17, 31, 7, , 3
2019/3/19, 26, 26, 16, , 3
2019/3/20, 55, 38, 7, 1, 3
2019/3/21, 59, 33, 15, , 3
2019/3/22, 62, 29, 4, , 2
2019/3/23, 28, 34, 3, , 1
2019/3/24, 13, 36, 4, 1, 2
2019/3/25, 46, 29, 4, , 2
2019/3/26, 17, 31, 7, , 2
2019/3/27, 20, 33, 12, 2, 3
2019/3/28, 33, 29, 10, 2, 3
2019/3/29, 48, 30, 6, , 2
2019/3/30, 21, 27, 5, , 2
2019/3/31, 21, 30, 2, , 2
2019/4/1, 15, 34, 6, , 2
2018/10/2, 18, 13, 8, , 2
2018/10/3, 14, 13, 10, 1, 2
2018/10/4, 18, 18, 5, , 2
2018/10/5, 16, 20, 7, , 2
2018/10/7, 41, 9, 4, , 2
2018/10/8, 14, 12, 3, , 2
2018/10/9, 26, 28, 10, , 3
2018/10/10, 34, 23, 10, 1, 2
2018/10/11, 31, 20, 5, 1, 1
2018/10/12, 16, 23, 4, , 1
2018/10/13, 9, 23, 7, , 2
2018/10/14, 14, 28, 15, 3, 3
2018/10/15, 30, 21, 11, , 4
2018/10/16, 22, 22, 9, 1, 1
2018/10/17, 16, 20, 10, 1, 1
2018/10/18, 13, 21, 11, 1, 2
2018/10/19, 11, 25, 12, 1, 2
2018/10/20, 33, 23, 7, , 1
2018/10/21, 16, 21, 4, , 1
2018/10/22, 6, 15, 16, 2, 2
2018/10/23, 32, 15, 19, 1, 4
2018/10/24, 45, 18, 6, , 2
2018/10/25, 9, 16, 14, 1, 2
2018/10/26, 18, 18, 11, , 2
2018/10/27, 25, 18, 7, , 2
2018/10/28, 11, 11, 12, , 2
2018/10/29, 32, 21, 11, , 2
2018/10/30, 10, 17, 21, 1, 3
2018/10/31, 30, 15, 16, , 3
2018/11/1, 41, 18, 17, , 3
2018/11/2, 29, 20, 10, , 2
2018/11/3, 10, 15, 6, , 2
2018/11/4, 12, 20, 10, , 2
2018/11/5, 20, 15, 14, , 2
2018/11/6, 33, 18, 8, , 2
2018/11/7, 13, 12, 6, , 2
2018/11/8, 18, 13, 8, , 2
2018/11/9, 11, 13, 10, , 2
2018/11/10, 15, 21, 5, , 1
2018/11/11, 17, 18, 8, , 1
2018/11/12, 14, 12, 16, 4, 3
2018/11/13, 48, 20, 11, , 2
2018/11/14, 30, 21, 13, , 2
2018/11/15, 9, 17, 14, , 2
2018/11/16, 22, 13, 14, , 2
2018/11/17, 48, 18, 9, , 2
2018/11/18, 21, 22, 13, , 3
2018/11/19, 18, 13, 20, 1, 3
2018/11/20, 34, 18, 15, , 3
2018/11/21, 24, 22, 7, , 1
2018/11/22, 25, 17, 13, , 2
2018/11/23, 5, 20, 15, 1, 2
2018/11/24, 26, 15, 15, , 2
2018/11/25, 34, 12, 8, , 2
2018/11/26, 23, 12, 12, , 3
2018/11/27, 27, 10, 6, , 2
2018/11/28, 5, 15, 6, , 2
2018/11/29, 5, 13, 16, , 2
2018/11/30, 35, 14, 18, 1, 3
2018/12/1, 63, 18, 16, , 3
2018/12/2, 42, 14, 15, 1, 3
2018/12/3, 27, 14, 9, , 2
2018/12/4, 11, 19, 13, , 3
2018/12/5, 17, 14, 24, 1, 4
2018/12/6, 36, 14, 12, , 2
2018/12/7, 45, 18, 13, , 2
2018/12/8, 13, 20, 10, , 2
2018/12/9, 28, 19, 10, 2, 2
2018/12/10, 54, 16, 19, , 2
2018/12/11, 54, 15, 16, , 2
