SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50,1,27,Alabama,Clay County,12,3,782,412,370,54,56,26,16
50,1,27,Alabama,Clay County,12,4,736,402,334,63,51,23,10
50,1,27,Alabama,Clay County,12,5,766,388,378,67,65,18,11
50,1,27,Alabama,Clay County,12,6,750,349,401,47,67,12,13
50,1,27,Alabama,Clay County,12,7,699,308,391,38,40,10,12
50,1,27,Alabama,Clay County,12,8,771,388,383,66,51,22,18
50,1,27,Alabama,Clay County,12,9,724,349,375,51,52,18,19
50,1,27,Alabama,Clay County,12,10,868,424,444,41,69,16,15
50,1,27,Alabama,Clay County,12,11,945,476,469,69,82,22,7
50,1,27,Alabama,Clay County,12,12,1029,509,520,60,87,6,9
50,1,27,Alabama,Clay County,12,13,942,461,481,54,68,9,6
50,1,27,Alabama,Clay County,12,14,845,400,445,49,47,3,10
50,1,27,Alabama,Clay County,12,15,677,319,358,35,55,8,3
50,1,27,Alabama,Clay County,12,16,564,255,309,31,33,4,0
50,1,27,Alabama,Clay County,12,17,389,151,238,15,24,2,0
50,1,27,Alabama,Clay County,12,18,310,114,196,10,15,1,3
50,1,29,Alabama,Cleburne County,12,0,14910,7340,7570,193,231,212,175
50,1,29,Alabama,Cleburne County,12,1,897,459,438,6,9,19,25
50,1,29,Alabama,Cleburne County,12,2,935,475,460,14,11,23,19
50,1,29,Alabama,Cleburne County,12,3,953,479,474,15,18,18,28
50,1,29,Alabama,Cleburne County,12,4,887,495,392,14,10,18,15
50,1,29,Alabama,Cleburne County,12,5,742,373,369,9,11,9,13
50,1,29,Alabama,Cleburne County,12,6,925,471,454,13,10,21,9
50,1,29,Alabama,Cleburne County,12,7,812,407,405,6,17,12,13
50,1,29,Alabama,Cleburne County,12,8,867,421,446,15,11,18,9
50,1,29,Alabama,Cleburne County,12,9,822,418,404,8,13,12,7
50,1,29,Alabama,Cleburne County,12,10,1066,536,530,14,15,21,8
50,1,29,Alabama,Cleburne County,12,11,992,499,493,11,11,14,6
50,1,29,Alabama,Cleburne County,12,12,1112,552,560,23,18,9,7
50,1,29,Alabama,Cleburne County,12,13,892,414,478,10,14,5,4
50,1,29,Alabama,Cleburne County,12,14,915,451,464,11,20,5,6
50,1,29,Alabama,Cleburne County,12,15,843,378,465,12,11,3,1
50,1,29,Alabama,Cleburne County,12,16,591,266,325,9,15,2,1
50,1,29,Alabama,Cleburne County,12,17,319,143,176,1,9,2,0
50,1,29,Alabama,Cleburne County,12,18,340,103,237,2,8,1,4
50,1,31,Alabama,Coffee County,12,0,52342,25742,26600,4429,4787,2189,1982
50,1,31,Alabama,Coffee County,12,1,3195,1676,1519,335,314,266,229
50,1,31,Alabama,Coffee County,12,2,3426,1754,1672,290,293,231,225
50,1,31,Alabama,Coffee County,12,3,3651,1839,1812,321,302,250,248
50,1,31,Alabama,Coffee County,12,4,3300,1699,1601,310,300,169,190
50,1,31,Alabama,Coffee County,12,5,3027,1596,1431,315,314,148,118
50,1,31,Alabama,Coffee County,12,6,3301,1660,1641,301,380,138,130
50,1,31,Alabama,Coffee County,12,7,3280,1663,1617,301,301,178,126
50,1,31,Alabama,Coffee County,12,8,3432,1693,1739,287,304,223,174
50,1,31,Alabama,Coffee County,12,9,3289,1659,1630,290,289,169,132
50,1,31,Alabama,Coffee County,12,10,3519,1750,1769,269,318,118,113
50,1,31,Alabama,Coffee County,12,11,3334,1641,1693,291,308,80,71
50,1,31,Alabama,Coffee County,12,12,3292,1681,1611,315,292,70,42
50,1,31,Alabama,Coffee County,12,13,3265,1490,1775,259,328,57,88
50,1,31,Alabama,Coffee County,12,14,2796,1309,1487,236,240,50,37
50,1,31,Alabama,Coffee County,12,15,2508,1178,1330,166,220,17,26
50,1,31,Alabama,Coffee County,12,16,1621,679,942,71,113,11,13
50,1,31,Alabama,Coffee County,12,17,1125,447,678,37,96,6,6
50,1,31,Alabama,Coffee County,12,18,981,328,653,35,75,8,14
50,1,33,Alabama,Colbert County,12,0,55241,26408,28833,4108,4851,925,864
50,1,33,Alabama,Colbert County,12,1,3133,1559,1574,276,263,93,75
50,1,33,Alabama,Colbert County,12,2,3202,1607,1595,255,281,85,94
50,1,33,Alabama,Colbert County,12,3,3319,1656,1663,296,269,92,170
50,1,33,Alabama,Colbert County,12,4,3032,1533,1499,250,257,75,77
50,1,33,Alabama,Colbert County,12,5,3078,1535,1543,290,309,60,58
50,1,33,Alabama,Colbert County,12,6,3814,1912,1902,324,366,122,62
50,1,33,Alabama,Colbert County,12,7,3371,1656,1715,267,327,96,48
50,1,33,Alabama,Colbert County,12,8,3238,1553,1685,257,283,52,37
50,1,33,Alabama,Colbert County,12,9,3140,1521,1619,248,281,56,55
50,1,33,Alabama,Colbert County,12,10,3465,1639,1826,227,308,50,53
50,1,33,Alabama,Colbert County,12,11,3623,1759,1864,253,296,75,52
50,1,33,Alabama,Colbert County,12,12,3900,1868,2032,264,344,19,25
50,1,33,Alabama,Colbert County,12,13,3861,1811,2050,247,355,20,22
50,1,33,Alabama,Colbert County,12,14,3414,1582,1832,249,291,9,13
50,1,33,Alabama,Colbert County,12,15,2825,1263,1562,166,243,7,2
50,1,33,Alabama,Colbert County,12,16,2148,906,1242,116,166,4,7
50,1,33,Alabama,Colbert County,12,17,1414,564,850,61,106,4,4
50,1,33,Alabama,Colbert County,12,18,1264,484,780,62,106,6,10
50,1,35,Alabama,Conecuh County,12,0,12067,5758,6309,2524,3036,150,127
50,1,35,Alabama,Conecuh County,12,1,640,304,336,149,165,16,12
50,1,35,Alabama,Conecuh County,12,2,720,346,374,173,182,22,24
50,1,35,Alabama,Conecuh County,12,3,687,348,339,192,180,13,6
50,1,35,Alabama,Conecuh County,12,4,681,344,337,201,199,3,13
50,1,35,Alabama,Conecuh County,12,5,636,330,306,158,170,16,7
50,1,35,Alabama,Conecuh County,12,6,696,337,359,162,187,14,8
50,1,35,Alabama,Conecuh County,12,7,622,315,307,145,160,19,10
50,1,35,Alabama,Conecuh County,12,8,632,289,343,154,181,11,7
50,1,35,Alabama,Conecuh County,12,9,635,286,349,134,176,7,12
50,1,35,Alabama,Conecuh County,12,10,685,296,389,100,195,13,8
50,1,35,Alabama,Conecuh County,12,11,755,368,387,166,200,4,7
50,1,35,Alabama,Conecuh County,12,12,917,438,479,185,230,5,3
50,1,35,Alabama,Conecuh County,12,13,929,455,474,161,222,4,4
50,1,35,Alabama,Conecuh County,12,14,790,366,424,132,175,0,1
50,1,35,Alabama,Conecuh County,12,15,812,393,419,141,172,1,2
50,1,35,Alabama,Conecuh County,12,16,538,244,294,92,111,0,1
50,1,35,Alabama,Conecuh County,12,17,375,170,205,46,62,2,2
50,1,35,Alabama,Conecuh County,12,18,317,129,188,33,69,0,0
50,1,37,Alabama,Coosa County,12,0,10663,5335,5328,1606,1688,152,128
50,1,37,Alabama,Coosa County,12,1,463,232,231,79,83,13,10
50,1,37,Alabama,Coosa County,12,2,464,255,209,84,62,10,14
50,1,37,Alabama,Coosa County,12,3,517,257,260,94,87,14,24
50,1,37,Alabama,Coosa County,12,4,478,251,227,78,80,13,4
50,1,37,Alabama,Coosa County,12,5,526,269,257,110,98,5,3
50,1,37,Alabama,Coosa County,12,6,598,341,257,143,78,1,6
50,1,37,Alabama,Coosa County,12,7,509,257,252,97,80,9,10
50,1,37,Alabama,Coosa County,12,8,508,250,258,80,79,18,12
50,1,37,Alabama,Coosa County,12,9,571,286,285,74,74,16,6
50,1,37,Alabama,Coosa County,12,10,775,361,414,103,156,16,9
50,1,37,Alabama,Coosa County,12,11,780,399,381,123,158,8,6
50,1,37,Alabama,Coosa County,12,12,935,449,486,119,200,9,3
50,1,37,Alabama,Coosa County,12,13,971,512,459,134,120,5,5
50,1,37,Alabama,Coosa County,12,14,805,408,397,117,96,4,3
50,1,37,Alabama,Coosa County,12,15,676,304,372,58,73,5,2
50,1,37,Alabama,Coosa County,12,16,511,261,250,53,67,2,8
50,1,37,Alabama,Coosa County,12,17,302,137,165,37,45,4,1
50,1,37,Alabama,Coosa County,12,18,274,106,168,23,52,0,2
50,1,39,Alabama,Covington County,12,0,37049,17927,19122,2138,2500,342,345
50,1,39,Alabama,Covington County,12,1,2199,1113,1086,148,173,39,44
50,1,39,Alabama,Covington County,12,2,2291,1189,1102,159,179,31,32
50,1,39,Alabama,Covington County,12,3,2277,1157,1120,189,161,31,41
50,1,39,Alabama,Covington County,12,4,2104,1095,1009,170,139,23,24
50,1,39,Alabama,Covington County,12,5,1877,938,939,141,175,18,17
50,1,39,Alabama,Covington County,12,6,2281,1182,1099,226,189,22,21
