County,State,Land Area
"Clearwater, ID",Idaho,2457.27
"Custer, ID",Idaho,4920.94
"Elmore, ID",Idaho,3074.74
"Franklin, ID",Idaho,663.65
"Fremont, ID",Idaho,1863.53
"Gem, ID",Idaho,560.9
"Gooding, ID",Idaho,728.97
"Idaho, ID",Idaho,8477.35
"Jefferson, ID",Idaho,1093.5
"Jerome, ID",Idaho,597.19
"Kootenai, ID",Idaho,1244.13
"Latah, ID",Idaho,1076
"Lemhi, ID",Idaho,4563.39
"Lewis, ID",Idaho,478.8
"Lincoln, ID",Idaho,1201.41
"Madison, ID",Idaho,469.21
"Minidoka, ID",Idaho,757.59
"Nez Perce, ID",Idaho,848.09
"Oneida, ID",Idaho,1200.06
"Owyhee, ID",Idaho,7665.51
"Payette, ID",Idaho,406.87
"Power, ID",Idaho,1404.24
"Shoshone, ID",Idaho,2629.67
"Teton, ID",Idaho,449.46
"Twin Falls, ID",Idaho,1921.21
"Valley, ID",Idaho,3664.52
"Washington, ID",Idaho,1452.98
"Adams, IL",Illinois,855.2
"Alexander, IL",Illinois,235.51
"Bond, IL",Illinois,380.28
"Boone, IL",Illinois,280.72
"Brown, IL",Illinois,305.61
"Bureau, IL",Illinois,869.03
"Calhoun, IL",Illinois,253.83
"Carroll, IL",Illinois,444.81
"Cass, IL",Illinois,375.82
"Champaign, IL",Illinois,996.27
"Christian, IL",Illinois,709.38
"Clark, IL",Illinois,501.42
"Clay, IL",Illinois,468.32
"Clinton, IL",Illinois,474.09
"Coles, IL",Illinois,508.29
"Cook, IL",Illinois,945.33
"Crawford, IL",Illinois,443.63
"Cumberland, IL",Illinois,346.02
"DeKalb, IL",Illinois,631.31
"De Witt, IL",Illinois,397.51
"Douglas, IL",Illinois,416.67
"DuPage, IL",Illinois,327.5
"Edgar, IL",Illinois,623.37
"Edwards, IL",Illinois,222.42
"Effingham, IL",Illinois,478.78
"Fayette, IL",Illinois,716.48
"Ford, IL",Illinois,485.62
"Franklin, IL",Illinois,408.89
"Fulton, IL",Illinois,865.6
"Gallatin, IL",Illinois,323.07
"Greene, IL",Illinois,543.02
"Grundy, IL",Illinois,418.04
"Hamilton, IL",Illinois,434.67
"Hancock, IL",Illinois,793.73
"Hardin, IL",Illinois,177.53
"Henderson, IL",Illinois,378.87
"Henry, IL",Illinois,822.99
"Iroquois, IL",Illinois,1117.32
"Jackson, IL",Illinois,584.08
"Jasper, IL",Illinois,494.51
"Jefferson, IL",Illinois,571.17
"Jersey, IL",Illinois,369.27
"Jo Daviess, IL",Illinois,601.09
"Johnson, IL",Illinois,343.92
"Kane, IL",Illinois,520.06
"Kankakee, IL",Illinois,676.56
"Kendall, IL",Illinois,320.34
"Knox, IL",Illinois,716.4
"Lake, IL",Illinois,443.67
"LaSalle, IL",Illinois,1135.12
"Lawrence, IL",Illinois,372.18
"Lee, IL",Illinois,724.9
"Livingston, IL",Illinois,1044.29
"Logan, IL",Illinois,618.06
"McDonough, IL",Illinois,589.41
"McHenry, IL",Illinois,603.17
"McLean, IL",Illinois,1183.38
"Macon, IL",Illinois,580.69
"Macoupin, IL",Illinois,862.91
"Madison, IL",Illinois,715.58
"Marion, IL",Illinois,572.36
"Marshall, IL",Illinois,386.79
"Mason, IL",Illinois,539.24
"Massac, IL",Illinois,237.22
"Menard, IL",Illinois,314.44
"Mercer, IL",Illinois,561.2
"Monroe, IL",Illinois,385.01
"Montgomery, IL",Illinois,703.69
"Morgan, IL",Illinois,568.79
"Moultrie, IL",Illinois,335.94
"Ogle, IL",Illinois,758.57
"Peoria, IL",Illinois,619.21
"Perry, IL",Illinois,441.76
"Piatt, IL",Illinois,439.2
"Pike, IL",Illinois,831.38
"Pope, IL",Illinois,368.77
"Pulaski, IL",Illinois,199.19
"Putnam, IL",Illinois,160.16
"Randolph, IL",Illinois,575.5
"Richland, IL",Illinois,359.99
"Rock Island, IL",Illinois,427.64
"St. Clair, IL",Illinois,657.76
"Saline, IL",Illinois,379.82
"Sangamon, IL",Illinois,868.3
"Schuyler, IL",Illinois,437.27
"Scott, IL",Illinois,250.91
"Shelby, IL",Illinois,758.52
"Stark, IL",Illinois,288.08
"Stephenson, IL",Illinois,564.52
"Tazewell, IL",Illinois,648.97
"Union, IL",Illinois,413.46
"Vermilion, IL",Illinois,898.37
"Wabash, IL",Illinois,223.25
"Warren, IL",Illinois,542.41
"Washington, IL",Illinois,562.57
"Wayne, IL",Illinois,713.81
"White, IL",Illinois,494.77
"Whiteside, IL",Illinois,684.25
"Will, IL",Illinois,836.91
"Williamson, IL",Illinois,420.15
"Winnebago, IL",Illinois,513.36
"Woodford, IL",Illinois,527.8
"Adams, IN",Indiana,339.03
"Allen, IN",Indiana,657.31
"Bartholomew, IN",Indiana,406.91
"Benton, IN",Indiana,406.42
"Blackford, IN",Indiana,165.08
"Boone, IN",Indiana,422.91
"Brown, IN",Indiana,311.98
"Carroll, IN",Indiana,372.22
"Cass, IN",Indiana,412.16
"Clark, IN",Indiana,372.86
"Clay, IN",Indiana,357.54
"Clinton, IN",Indiana,405.07
"Crawford, IN",Indiana,305.64
"Daviess, IN",Indiana,429.49
"Dearborn, IN",Indiana,305.03
"Decatur, IN",Indiana,372.57
"DeKalb, IN",Indiana,362.82
"Delaware, IN",Indiana,392.12
"Dubois, IN",Indiana,427.27
"Elkhart, IN",Indiana,463.17
"Fayette, IN",Indiana,215.01
"Floyd, IN",Indiana,147.94
"Fountain, IN",Indiana,395.66
"Franklin, IN",Indiana,384.43
"Fulton, IN",Indiana,368.39
"Gibson, IN",Indiana,487.49
"Grant, IN",Indiana,414.07
"Greene, IN",Indiana,542.5
"Hamilton, IN",Indiana,394.27
"Hancock, IN",Indiana,306.02
"Harrison, IN",Indiana,484.52
"Hendricks, IN",Indiana,406.91
"Henry, IN",Indiana,391.88
"Howard, IN",Indiana,293.06
"Huntington, IN",Indiana,382.65
"Jackson, IN",Indiana,509.31
"Jasper, IN",Indiana,559.63
"Jay, IN",Indiana,383.91
"Jefferson, IN",Indiana,360.63
"Jennings, IN",Indiana,376.58
"Johnson, IN",Indiana,320.43
"Knox, IN",Indiana,516.03
"Kosciusko, IN",Indiana,531.38
"LaGrange, IN",Indiana,379.62
"Lake, IN",Indiana,498.96
"LaPorte, IN",Indiana,598.3
"Lawrence, IN",Indiana,449.17
"Madison, IN",Indiana,451.92
"Marion, IN",Indiana,396.3
"Marshall, IN",Indiana,443.63
"Martin, IN",Indiana,335.74
"Miami, IN",Indiana,373.84
"Monroe, IN",Indiana,394.51
"Montgomery, IN",Indiana,504.61
"Morgan, IN",Indiana,403.97
"Newton, IN",Indiana,401.76
"Noble, IN",Indiana,410.84
"Ohio, IN",Indiana,86.14
"Orange, IN",Indiana,398.39
"Owen, IN",Indiana,385.29
"Parke, IN",Indiana,444.66
"Perry, IN",Indiana,381.73
"Pike, IN",Indiana,334.24
"Porter, IN",Indiana,418.15
"Posey, IN",Indiana,409.57
"Pulaski, IN",Indiana,433.65
"Putnam, IN",Indiana,480.53
"Randolph, IN",Indiana,452.38
"Ripley, IN",Indiana,446.43
"Rush, IN",Indiana,408.12
