date, pm25, o3, no2, so2, co
2019/5/16, 23, 18, 20, 1, 5
2019/5/17, 38, 32, 15, 1, 4
2019/5/18, 17, 32, 15, 1, 4
2019/5/19, 21, 33, 17, 1, 4
2019/5/20, 24, 30, 15, 1, 3
2019/5/21, 18, 31, 9, 1, 3
2019/5/22, 26, 33, 20, 1, 5
2019/5/23, 43, 28, 28, 2, 5
2019/5/24, 50, 27, 14, 1, 3
2019/5/25, 29, 22, 12, 1, 4
2019/5/26, 19, 20, 13, 1, 4
2019/5/27, 32, 29, 15, 1, 5
2019/5/28, 45, 28, 16, 1, 4
2019/5/29, 45, 23, 22, 1, 5
2019/5/30, 38, 25, 27, 2, 5
2019/5/31, 50, 20, 27, 2, 6
2019/6/1, 51, 27, 17, 1, 4
2019/6/2, 41, 29, 13, 1, 3
2019/6/3, 32, 27, 14, 1, 3
2019/6/4, 31, 30, 16, 1, 4
2019/6/5, 30, 24, 17, 1, 4
2019/6/6, 19, 26, 15, 1, 3
2019/6/7, 19, 23, 14, 1, 4
2019/6/8, 15, 24, 9, 1, 3
2019/6/9, 12, 23, 8, , 3
2019/6/10, 13, 25, 10, , 3
2019/6/11, 18, 35, 12, 1, 4
2019/6/12, 26, 28, 32, 2, 5
2019/6/13, 43, 25, 18, 1, 4
2019/6/14, 42, 16, 14, 1, 4
2019/6/15, 23, , 17, , 4
2019/6/16, 34, 17, 12, 1, 3
2019/6/17, 30, 25, 18, 1, 4
2019/6/18, 27, 16, 9, 1, 2
2019/6/19, 16, 23, 10, 1, 2
2019/6/20, 23, 22, 12, 1, 3
2019/6/21, 16, 24, 13, 1, 4
2019/6/22, 26, 18, 10, 1, 3
2019/6/23, 20, 21, 8, 1, 2
2019/6/24, 20, 25, 11, 1, 3
2019/6/25, 23, 29, 15, 1, 4
2019/6/26, 25, 29, 17, 1, 3
2019/6/27, 21, 26, 14, 1, 3
2019/6/28, 18, 28, 15, 1, 3
2019/6/29, 19, 30, 12, 1, 3
2019/6/30, 21, 33, 12, 1, 3
2019/7/1, 23, 30, 18, 2, 4
2019/1/2, 57, 10, 20, 1, 6
2019/1/3, 45, 23, 26, 1, 5
2019/1/4, 32, 27, 16, 1, 3
2019/1/5, 21, 11, 22, 2, 6
2019/1/6, 33, 29, 14, 1, 3
2019/1/7, 21, 24, 22, 1, 5
2019/1/8, 28, 21, 27, 1, 6
2019/1/9, 31, 19, 23, 1, 4
2019/1/10, 24, 18, 18, 1, 4
2019/1/11, 16, 13, 29, 2, 10
2019/1/12, 47, 15, 27, 2, 11
2019/1/13, 63, 5, 25, 2, 8
2019/1/14, 59, 6, 24, 2, 7
2019/1/15, 53, 3, 38, 3, 14
2019/1/16, 86, 14, 31, 3, 11
2019/1/17, 66, 25, 22, 2, 5
2019/1/18, 22, 26, 20, 1, 4
2019/1/19, 19, 28, 13, 1, 3
2019/1/20, 32, 20, 15, 1, 4
2019/1/21, 28, 12, 23, 1, 8
2019/1/22, 58, 21, 18, 1, 1
2019/1/23, 27, 25, 16, 1, 1
2019/1/24, 20, 10, 21, 2, 1
2019/1/25, 43, 9, 17, 2, 1
2019/1/26, 44, 9, 14, 1, 1
2019/1/27, 45, 10, 11, 1, 1
2019/1/28, 46, 12, 14, 1, 4
2019/1/29, 30, 12, 25, 1, 6
2019/1/30, 34, 3, 30, 3, 8
2019/1/31, 62, 8, 26, 2, 7
2019/2/1, 55, 20, 22, 1, 4
2019/2/2, 40, 24, 15, 1, 2
2019/2/3, 23, 29, 9, 1, 1
2019/2/4, 20, 27, 5, 1, 1
2019/2/5, 21, 26, 21, 2, 5
2019/2/6, 42, 16, 26, 1, 6
2019/2/7, 52, 18, 25, 1, 5
2019/2/8, 38, 17, 23, 1, 5
2019/2/9, 52, 27, 8, 1, 2
2019/2/10, 25, 25, 14, 1, 3
2019/2/11, 31, 28, 11, 1, 2
2019/2/12, 20, 27, 12, 1, 3
2019/2/13, 24, 22, 19, 1, 4
2019/2/14, 31, 17, 31, 1, 6
2019/2/15, 37, 26, 25, 1, 6
2019/2/16, 29, 16, 19, 1, 5
2019/2/17, 35, 17, 20, 1, 5
2019/2/18, 43, 3, 17, 1, 5
2019/2/19, 50, 23, 24, 1, 5
2019/2/20, 32, 20, 14, 1, 3
2019/2/21, 24, 19, 20, 1, 6
2019/2/22, 38, 21, 20, 1, 4
2019/2/23, 28, 28, 14, 1, 4
2019/2/24, 22, 30, 9, 1, 3
2019/2/25, 18, 29, 12, 1, 3
2019/2/26, 19, 32, 9, 1, 2
2019/2/27, 17, 30, 17, 1, 4
2019/2/28, 26, 28, 26, 1, 5
2019/3/1, 32, 27, 18, 1, 4
2019/3/2, 29, 32, 11, 1, 3
2019/3/3, 30, 36, 6, 1, 2
2019/3/4, 12, 35, 9, 1, 3
2019/3/5, 15, 33, 13, 1, 3
2019/3/6, 16, 26, 18, 1, 3
2019/3/7, 29, 27, 21, 1, 4
2019/3/8, 30, 24, 29, 1, 6
2019/3/9, 35, 27, 16, 1, 5
2019/3/10, 41, 26, 21, 2, 5
2019/3/11, 41, 30, 28, 1, 5
2019/3/12, 35, 28, 21, 1, 4
2019/3/13, 25, 23, 24, 1, 6
2019/3/14, 38, 27, 21, 1, 6
2019/3/15, 29, 23, 22, 1, 6
2019/3/16, 40, 22, 20, 1, 6
2019/3/17, 47, 16, 14, 1, 4
2019/3/18, 41, 38, 19, 1, 5
2019/3/19, 27, 41, 23, 1, 5
2019/3/20, 35, 41, 26, 1, 6
2019/3/21, 28, 34, 21, 1, 5
2019/3/22, 33, 33, 24, 2, 5
2019/3/23, 32, 35, 18, 2, 5
2019/3/24, 35, 29, 16, 2, 4
2019/3/25, 38, 28, 18, 2, 5
2019/3/26, 34, 35, 19, 1, 5
2019/3/27, 21, 31, 14, 1, 4
2019/3/28, 18, 33, 25, 1, 5
2019/3/29, 28, 24, 29, 2, 7
2019/3/30, 40, 32, 16, 2, 5
2019/3/31, 29, 33, 16, 1, 5
2019/4/1, 45, 29, 15, 1, 4
2018/10/2, 27, 23, 14, 1, 3
2018/10/3, 25, 12, 13, 1, 4
2018/10/4, 33, 13, 18, 1, 5
2018/10/5, 35, 18, 15, 1, 4
2018/10/6, 32, 16, 9, 1, 3
2018/10/7, 43, 14, 13, 1, 4
