date, pm25, pm10, o3, no2, co
2015/4/14, 22, , 23, 4, 
2015/4/15, 22, , 24, 4, 
2015/4/16, 25, , 27, 4, 
2015/4/17, 35, , 31, 4, 
2015/4/18, 44, , 35, 3, 
2015/4/19, 45, , 32, 3, 
2015/4/20, 60, , 32, 4, 
2015/4/21, 56, , 35, 4, 
2015/4/22, 63, , 35, 7, 
2015/4/23, 51, , 34, 7, 
2015/4/24, 60, , 27, 2, 
2015/4/25, 38, , 25, 2, 
2015/4/26, 21, , 25, 2, 
2015/4/27, 20, , 24, 3, 
2015/4/28, 24, , 22, 6, 
2015/4/29, 23, , 17, 5, 
2015/4/30, 44, , 23, 4, 
2015/5/1, 32, , 37, 5, 
2015/5/2, 28, , 32, 2, 
2015/5/3, 41, , 26, 3, 
2015/5/4, 39, , 29, 4, 
2015/5/5, 33, , 27, 4, 
2015/5/6, 30, , 29, 5, 
2015/5/7, 33, , 31, 4, 
2015/5/8, 43, , 30, 6, 
2015/5/9, 45, , 27, 4, 
2015/5/10, 51, , 28, 5, 
2015/5/11, 45, , 27, 3, 
2015/5/12, 53, , 22, 3, 
2015/5/13, 29, , 22, 3, 
2015/5/14, 24, , 22, 2, 
2015/5/15, 36, , 21, 3, 
2015/5/16, 23, , 19, 2, 
2015/5/17, 38, , 32, , 
2015/5/18, 26, , 28, 4, 
2015/5/19, 33, , 22, 4, 
2015/5/20, 22, , 26, 3, 
2015/5/21, 15, , 22, 4, 
2015/5/22, 13, , 25, 4, 
2015/5/23, 19, , 15, 9, 
2015/5/24, 33, , 23, 5, 
2015/5/25, 27, , 30, 6, 
2015/5/26, 32, , 27, 8, 
2015/5/27, 30, , 27, 6, 
2015/5/28, 28, , 26, 9, 
2015/5/29, 39, , 24, 6, 
2015/5/30, 32, , 25, 6, 
2015/5/31, 28, , 26, 8, 
2015/6/1, 47, , 24, 3, 
2015/6/2, 29, , 33, 1, 
2015/6/3, 29, , 28, 4, 
2015/6/4, 39, , 23, 6, 
2015/6/5, 29, , 26, 7, 
2015/6/6, 37, , 29, 4, 
2015/6/7, 35, , 28, 4, 
2015/6/8, 23, , 27, 6, 
