State,County,CS,GoodDays,ModerateDays,UnhealthyForSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,AQI_Class_KMR,AQI_Class_KMN
Illinois,Hamilton,HamiltonIllinois,0.799577527929612,0.197918190872656,0.00250428119773111,0,0,0,2,1
Illinois,Jersey,JerseyIllinois,0.800069322206226,0.19171283485717,0.00821784293660353,0,0,0,2,2
Illinois,Jo Daviess,Jo DaviessIllinois,0.941599376994669,0.0564832967494452,0.00191732625588611,0,0,0,1,1
Illinois,Kane,KaneIllinois,0.841320667821991,0.148927725085229,0.00975160709278017,0,0,0,1,2
Illinois,Lake,LakeIllinois,0.882989777818487,0.101020755881135,0.0150424966034076,0.000946969696969697,0,0,1,2
Illinois,Macon,MaconIllinois,0.660821668288544,0.326850812186541,0.0123275195249145,0,0,0,2,2
Illinois,Macoupin,MacoupinIllinois,0.937093018877158,0.0615333547492159,0.00137362637362637,0,0,0,1,1
Illinois,Madison,MadisonIllinois,0.601982433814906,0.377024228360406,0.0191668538064226,0.00182648401826484,0,0,2,2
Illinois,McHenry,McHenryIllinois,0.752645221567874,0.236238776570268,0.0111160018618582,0,0,0,2,2
Illinois,McLean,McLeanIllinois,0.795969717754316,0.203118287834924,0.000911994410759288,0,0,0,2,1
Illinois,Peoria,PeoriaIllinois,0.733346508520548,0.262087267723917,0.00456622375553433,0,0,0,2,2
Illinois,Randolph,RandolphIllinois,0.80302352652521,0.193488216884467,0.00348825659032297,0,0,0,2,1
Illinois,Rock Island,Rock IslandIllinois,0.845171797727243,0.152505690580286,0.00232251169247073,0,0,0,1,1
Illinois,Sangamon,SangamonIllinois,0.832454386050277,0.165712850753324,0.00183276319639956,0,0,0,1,1
Illinois,Wabash,WabashIllinois,0.979362732250728,0.0197215168335208,0.000915750915750916,0,0,0,1,1
Illinois,Will,WillIllinois,0.720867969412963,0.276848925564206,0.00228310502283105,0,0,0,2,1
Illinois,Winnebago,WinnebagoIllinois,0.853121491822695,0.142161040749952,0.00425706227081473,0.000460405156537753,0,0,1,1
Indiana,Allen,AllenIndiana,0.685199494058913,0.30603166772347,0.00830198480958656,0.000466853408029879,0,0,2,2
Indiana,Bartholomew,BartholomewIndiana,0.773926894025704,0.220599891911367,0.00547321406292886,0,0,0,2,2
Indiana,Clark,ClarkIndiana,0.730499062937696,0.260696153228656,0.00834690837577292,0.000457875457875458,0,0,2,2
Indiana,Daviess,DaviessIndiana,0.967034200089805,0.0211683720386653,0.0107994238795137,0.000998003992015968,0,0,1,2
Indiana,Delaware,DelawareIndiana,0.86460478216981,0.130827960851754,0.00456725697843621,0,0,0,1,1
Indiana,Elkhart,ElkhartIndiana,0.71156610808166,0.276845275805888,0.0115886161124523,0,0,0,2,2
Indiana,Floyd,FloydIndiana,0.731679711725168,0.2582439540205,0.010076334254332,0,0,0,2,2
Indiana,Gibson,GibsonIndiana,0.954277920466745,0.0411096737650191,0.00461240576823557,0,0,0,1,1
Indiana,Greene,GreeneIndiana,0.808473521813298,0.18612949764664,0.0053969805400616,0,0,0,2,2
Indiana,Hamilton,HamiltonIndiana,0.76685146733343,0.226258466264279,0.00689006640229106,0,0,0,2,2
Indiana,Hendricks,HendricksIndiana,0.921784040445135,0.0773027175457328,0.00091324200913242,0,0,0,1,1
Indiana,Howard,HowardIndiana,0.720887963805292,0.275885555086394,0.003226481108314,0,0,0,2,1
Indiana,Knox,KnoxIndiana,0.894276948175437,0.101998627978887,0.00372442384567569,0,0,0,1,1
Indiana,LaPorte,LaPorteIndiana,0.811779906140111,0.172662050835796,0.0150989062013194,0.000459136822773186,0,0,1,2
Indiana,Lake,LakeIndiana,0.589175836514709,0.394849913915712,0.0136923921451206,0.00182648401826484,0.000455373406193078,0,3,2
Indiana,Madison,MadisonIndiana,0.73172163684872,0.263173749234563,0.00510461391671778,0,0,0,2,2
Indiana,Marion,MarionIndiana,0.493350300671208,0.480179404646056,0.0251004316690371,0.00136986301369863,0,0,3,2
Indiana,Monroe,MonroeIndiana,0.855851765073878,0.143666539357721,0,0.000481695568400771,0,0,1,1
Indiana,Morgan,MorganIndiana,0.901419079842086,0.0920949305478572,0.00648598961005666,0,0,0,1,2
Indiana,Pike,PikeIndiana,0.972660500150474,0.0183631820496794,0.00802934810287751,0.000946969696969697,0,0,1,2
Indiana,Porter,PorterIndiana,0.707874840931207,0.274782294083888,0.0164296229757716,0.00091324200913242,0,0,2,2
Indiana,Posey,PoseyIndiana,0.85833158730381,0.13747050468265,0.00419790801353923,0,0,0,1,1
Indiana,Shelby,ShelbyIndiana,0.884802328376116,0.111292651169845,0.00390502045403848,0,0,0,1,1
Indiana,St. Joseph,St. JosephIndiana,0.687940642318906,0.300626228636522,0.0114331290445723,0,0,0,2,2
Indiana,Tippecanoe,TippecanoeIndiana,0.792945225286858,0.206527348552805,0.000527426160337553,0,0,0,2,1
Indiana,Vanderburgh,VanderburghIndiana,0.687097947714386,0.304221235385619,0.00868081689999498,0,0,0,2,2
Indiana,Vigo,VigoIndiana,0.596965840756544,0.378386605783866,0.0232789380442648,0.0013686154153255,0,0,2,2
Indiana,Wabash,WabashIndiana,0.900945956118152,0.0919253108948362,0.00712873298701215,0,0,0,1,2
Indiana,Warrick,WarrickIndiana,0.825123734179944,0.165002616361726,0.00918777840208847,0.000685871056241427,0,0,1,2
Indiana,Whitley,WhitleyIndiana,0.790607172811682,0.208469466154153,0.000923361034164358,0,0,0,2,1
Iowa,Black Hawk,Black HawkIowa,0.655144572113398,0.343018866657776,0.00183656122882642,0,0,0,2,1
Iowa,Bremer,BremerIowa,0.926099408928522,0.0725400468537909,0.00136054421768707,0,0,0,1,1
Iowa,Clinton,ClintonIowa,0.554911136721152,0.442350384849823,0.00273847842902413,0,0,0,3,1
Iowa,Harrison,HarrisonIowa,0.882597424074682,0.115263215508254,0.00213936041706402,0,0,0,1,1
Iowa,Johnson,JohnsonIowa,0.780747181961895,0.218338321575664,0.000914496462441668,0,0,0,2,1
Iowa,Linn,LinnIowa,0.718836240237543,0.272947076877012,0.00821668288544552,0,0,0,2,2
Iowa,Montgomery,MontgomeryIowa,0.801168711768308,0.197918039367624,0.000913248864068536,0,0,0,2,1
Iowa,Muscatine,MuscatineIowa,0.680477580657235,0.286645707013998,0.0296803652968037,0.00319634703196347,0,0,2,3
Iowa,Palo Alto,Palo AltoIowa,0.786257320505662,0.211005448663687,0.00228185742445792,0.000455373406193078,0,0,2,1
Iowa,Polk,PolkIowa,0.812852758440003,0.185322005140105,0.00182523641989171,0,0,0,2,1
Iowa,Scott,ScottIowa,0.426777203882526,0.566375976245727,0.00639019886718068,0.00045662100456621,0,0,3,2
Iowa,Van Buren,Van BurenIowa,0.759457261258817,0.23917537092423,0.000455373406193078,0.000911994410759288,0,0,2,1
Kansas,Ford,FordKansas,0.975737870852766,0.0228755684386397,0.000928685250719149,0.000457875457875458,0,0,1,1
Kansas,Johnson,JohnsonKansas,0.893785538451091,0.106214461548909,0,0,0,0,1,1
Kansas,Leavenworth,LeavenworthKansas,0.930100335050782,0.068522254480898,0.00137741046831956,0,0,0,1,1
Kansas,Neosho,NeoshoKansas,0.859338284630279,0.13924369423457,0.00141802113515063,0,0,0,1,1
Kansas,Sedgwick,SedgwickKansas,0.787741098385608,0.209977044189934,0.00182648401826484,0.000455373406193078,0,0,2,1
Kansas,Shawnee,ShawneeKansas,0.838994392166271,0.15963574482003,0.00091324200913242,0.00045662100456621,0,0,1,1
Kansas,Sumner,SumnerKansas,0.867924883335842,0.131159365748407,0.000915750915750916,0,0,0,1,1
Kansas,Trego,TregoKansas,0.884270489720921,0.114349464468406,0.000922170352797123,0.000457875457875458,0,0,1,1
Kansas,Wyandotte,WyandotteKansas,0.69320618582709,0.301767198970711,0.00456999419763365,0.00045662100456621,0,0,2,2
Kentucky,Bell,BellKentucky,0.897636883720385,0.101085977071442,0.000638569604086845,0.000638569604086845,0,0,1,1
Kentucky,Boone,BooneKentucky,0.914497993004582,0.0834472047736458,0.00136893116553104,0.000685871056241427,0,0,1,1
Kentucky,Boyd,BoydKentucky,0.791911819746987,0.204894328417796,0.00319385183521721,0,0,0,2,1
Kentucky,Bullitt,BullittKentucky,0.872133307490492,0.123601701436651,0.00426499107285659,0,0,0,1,1
Kentucky,Campbell,CampbellKentucky,0.733282844415755,0.258449683094962,0.00826747248928314,0,0,0,2,2
